LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
16,2,11.28438515364626,11.628912970156742,0.062106210621062106,86.76602045094229,0.0,7.802289145057012,3.432865092691863,15.212523056608852,24.305681199063294,33.81000616936274,61.922014058221095,86.05821281937949
16,3,11.039853021098615,11.096246597417109,0.0738073807380738,81.29617069341337,9.313225746154785e-10,7.495317531321213,3.742141207014641,14.461352322998685,24.153661542216497,33.299569295091196,53.195686298467955,81.15950271318802
16,4,11.119703561946118,10.794758714012795,0.08010801080108011,79.96671563285695,2.7939677238464355e-09,7.7994513859678465,3.8665903794451757,14.712822994615143,24.13279681639799,32.78917380591548,52.770550780358036,78.84196828286993
16,5,11.111212475658744,10.720906557603703,0.0846084608460846,79.96671563285695,2.7939677238464355e-09,7.9973783661587285,3.921345416361404,14.353711636422133,23.87096883654444,32.90014312380478,52.445183780280956,79.00979540664639
16,6,11.064404409992857,10.658894133208927,0.08820882088208822,79.96671563285695,2.7939677238464355e-09,8.054559784720265,3.7931559356195623,14.517741835737265,23.722336436270105,32.8619007787762,52.222382834966076,79.33282083079798
16,7,10.995812613989374,10.58357894479486,0.09180918091809182,79.96671563285695,2.7939677238464355e-09,8.042155825015792,3.761214432293665,14.332926005055597,23.802707824499787,31.548882302294814,50.238039893537255,79.56932738916782
16,8,11.02309991647292,10.475680512658434,0.09540954095409541,79.96671563285695,2.7939677238464355e-09,7.970226734106971,4.0455565515727825,14.139752683484668,23.184090533197782,31.9523295433576,48.70845267221434,79.7412813801445
16,9,11.022543546041494,10.325174456738827,0.09720972097209721,76.44101138458672,2.7939677238464355e-09,8.042077899763994,4.009288741422912,14.21368012707979,23.557542456841738,31.666859959162725,47.44366980198179,76.32348352379839
16,10,11.000613599549187,10.21070858555439,0.09720972097209721,75.71592514302866,6.51925802230835e-09,8.180367694840868,4.270114885087765,14.095241210533986,22.99023348843643,31.46936764470739,51.200739869860065,75.26115426833947
16,11,10.989632611134263,10.061816027705868,0.09900990099009901,75.95870896358197,6.51925802230835e-09,8.285636590156267,4.4072100021331755,14.10987479597009,22.939835539329074,30.602572092435267,48.344285780361396,75.56433707780947
16,12,x,x,x,x,x,x,x,x,x,x,x,x
16,13,x,x,x,x,x,x,x,x,x,x,x,x
16,14,x,x,x,x,x,x,x,x,x,x,x,x
16,15,x,x,x,x,x,x,x,x,x,x,x,x
17,1,12.299186820903339,13.270587863826522,0.0351035103510351,85.20359663887409,0.0,8.057375355034438,3.017496771233237,17.63742569177432,27.366396047914765,37.2872641881924,65.24096999370434,85.05560331254057
17,2,11.720794679621726,12.066021856053876,0.0405040504050405,86.76602045094229,0.0,8.057375355034438,3.587867629781398,15.824652053809093,25.804384453812734,35.619818773287534,63.00975976205681,86.09585697952457
17,3,11.433537739284967,11.462645886909721,0.04410441044104411,80.47340569585201,9.313225746154785e-10,7.974710731267523,3.847136947625487,15.194255064724082,25.00632086307702,34.68000427221107,59.226368487462906,80.41964588016813
17,4,11.40079428935269,11.321278525853652,0.0558055805580558,79.96671563285695,2.7939677238464355e-09,7.945468255277845,3.899857894131329,15.180266151349468,25.055819765721168,34.48317484742729,57.36219257862358,79.75786880759973
17,5,11.439344897910797,11.196245785170884,0.0594059405940594,79.96671563285695,2.7939677238464355e-09,8.136421961488095,4.123665232706374,14.667103151443625,24.557573077157556,34.776343901158015,55.87113637847298,79.90306663151246
17,6,11.361200667166187,10.896103406231774,0.063006300630063,79.96671563285695,2.7939677238464355e-09,8.293691294922668,3.910677050983405,14.745536286281496,24.38718357911987,33.18674634335995,52.52829923620025,79.3152822394368
17,7,11.285097745322592,10.684574881195315,0.06480648064806481,79.96671563285695,2.7939677238464355e-09,8.259151430559958,3.9605382562372435,14.802151881753947,24.187254720341866,31.717324854796054,52.648768302987946,78.65544936847475
17,8,11.251228523111,10.486626923163351,0.06930693069306931,79.96671563285695,2.7939677238464355e-09,8.114246952475431,4.075375891665937,14.841496701103104,23.47608565975909,31.93319387473154,52.74032776587857,78.58454846905849
17,9,11.237082292533298,10.341524503323736,0.07560756075607561,77.19863713286084,2.7939677238464355e-09,8.37483773520656,4.191170569945209,14.562376439945211,23.77443125062295,31.579649903006654,50.40566384016612,76.04699628355142
17,10,11.218409858737378,10.176614724264951,0.0774077407740774,73.10995317976348,6.51925802230835e-09,8.309070577406944,4.382874527767001,14.629323695528766,23.12755311643797,31.939846676936664,49.5503802525104,72.34109594999202
17,11,11.232835391347646,10.12365749579036,0.07920792079207921,70.05522613977013,6.51925802230835e-09,8.350437897675047,4.448280383404715,14.58840576342665,23.294156069624503,32.51153986542505,50.219830473162446,69.55288642975961
17,12,11.245755659331309,10.074497744186289,0.081008100810081,64.82682076270959,6.51925802230835e-09,8.400089916801164,4.4920613763330515,14.381011170329456,23.09748191939358,32.39160518571826,51.03155129304508,64.70116214615693
17,13,11.266937605407433,10.043167842938608,0.08280828082808281,64.83197476611478,6.51925802230835e-09,8.378342032683664,4.4477977722136375,14.409037875749721,23.25703179483328,32.3408240713084,49.820065203830566,64.81124418129049
17,14,11.2617212080747,10.06436723841202,0.0846084608460846,65.8091853233405,6.51925802230835e-09,8.433832196391707,4.39344974985575,14.439619377667738,23.078570816149153,32.237646137417876,50.62691484806717,65.68756537179388
17,15,11.236640956915037,10.029668382649275,0.0855085508550855,66.65965628601974,5.587935447692871e-09,8.484001867186496,4.358265361610064,14.522500848756088,22.989159786072285,31.46828066261677,49.654136295245,66.45879566198455
18,1,12.294057086076743,13.170930885682532,0.023402340234023402,85.20359663887409,0.0,8.074139720366594,3.153235201727051,17.363866600018316,27.26212730909539,37.20682550680554,65.28314318214481,85.05380694163283
18,2,11.864509438309177,12.270206082560296,0.0297029702970297,86.76602045094229,0.0,8.015122465065529,3.665421146599586,16.063302632235438,25.53925739907069,36.06506075371952,63.33563189578761,86.44892498578402
18,3,11.607541353045253,11.627008651793197,0.0333033303330333,79.96671563285695,9.313225746154785e-10,8.151217512091298,3.912128769925983,15.198077647727565,25.093983875645996,34.58143189899852,61.18641247521931,79.35428868282136
18,4,11.59922168777428,11.53009757581608,0.0369036903690369,79.96671563285695,2.7939677238464355e-09,8.00459597117128,3.974423163766078,15.303815690577514,25.384446126965145,34.69485146101127,60.425078671963604,78.8744495658947
18,5,11.539011756025342,11.22359745413278,0.0423042304230423,79.96671563285695,2.7939677238464355e-09,8.264068468791539,4.110813117304219,14.622585144213224,24.464828119015255,34.278608116126456,55.84480593821681,78.96552842767734
