FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAIL,NORMAL_POSITIONING_FAIL,MEAN_ERROR_NORMAL_RSS,MEAN_ERROR_ACTUAL_POSITION,TOTAL_OF_ATTACK
ValidationData_1.csv,145,966,738,192,7.509206943480749,11.64580798426279,1111
ValidationData_2.csv,160,951,809,192,9.704258339751052,12.678035461802466,1111
ValidationData_3.csv,175,936,837,192,10.320720508860132,12.46412507002119,1111
ValidationData_4.csv,188,923,856,192,10.326735497968906,15.63144104912758,1111
ValidationData_5.csv,193,918,851,192,10.20659357745658,14.016884204349532,1111
ValidationData_6.csv,208,903,861,192,11.852674587391753,14.84373871873213,1111
ValidationData_7.csv,198,913,866,192,12.72692143716564,15.48000435112413,1111
ValidationData_8.csv,179,932,905,192,13.805229828145304,17.449769500391422,1111
ValidationData_9.csv,172,939,912,192,13.9761114047004,16.807427601217427,1111
ValidationData_10.csv,177,934,899,192,13.003491318197145,16.951689062372527,1111
