FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAIL,NORMAL_POSITIONING_FAIL,MEAN_ERROR_NORMAL_RSS,MEAN_ERROR_ACTUAL_POSITION,TOTAL_OF_ATTACK
ValidationData_1.csv,380,731,147,107,6.997687187809053,14.569901150651349,1111
ValidationData_2.csv,572,539,250,107,5.6221107129001,12.590304996271257,1111
ValidationData_3.csv,588,523,379,107,5.914525260086307,11.541843933229348,1111
ValidationData_4.csv,493,618,543,107,5.864525980248781,10.671016770858612,1111
ValidationData_5.csv,380,731,700,107,6.490210659223962,10.102569468068712,1111
ValidationData_6.csv,257,854,834,107,7.249431387865806,10.554479131181939,1111
ValidationData_7.csv,150,961,949,107,7.535027698043847,10.564238236651683,1111
ValidationData_8.csv,78,1033,1023,107,6.952628478356276,10.20923545858911,1111
ValidationData_9.csv,33,1078,1071,107,7.072825626786725,9.851208988641114,1111
ValidationData_10.csv,19,1092,1085,107,7.132545702674167,8.021899019169977,1111
