FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAIL,NORMAL_POSITIONING_FAIL,MEAN_ERROR_NORMAL_RSS,MEAN_ERROR_ACTUAL_POSITION,TOTAL_OF_ATTACK
ValidationData_1.csv,297,814,129,105,7.052746764111374,12.750843256415028,1111
ValidationData_2.csv,417,694,156,105,8.504919376936604,12.181773905555476,1111
ValidationData_3.csv,472,639,184,105,9.076681953998968,12.523007563443382,1111
ValidationData_4.csv,519,592,209,105,9.566694364017897,13.267584504643306,1111
ValidationData_5.csv,544,567,238,105,11.094847970932896,14.796350141355308,1111
ValidationData_6.csv,562,549,273,105,12.53014760122535,15.494501408211512,1111
ValidationData_7.csv,551,560,309,105,12.649126565203462,15.346283537014145,1111
ValidationData_8.csv,537,574,363,105,18.029858950647743,20.724849794678455,1111
ValidationData_9.csv,525,586,409,105,18.767217751867882,21.13305389663525,1111
ValidationData_10.csv,512,599,424,105,21.06574506769869,23.693123359661143,1111
