FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAIL,NORMAL_POSITIONING_FAIL,MEAN_ERROR_NORMAL_RSS,MEAN_ERROR_ACTUAL_POSITION,TOTAL_OF_ATTACK
ValidationData_1.csv,70,1041,9,9,6.430332351965432,15.436150059867275,1111
ValidationData_2.csv,137,974,8,9,7.947275835659963,16.523974799677198,1111
ValidationData_3.csv,201,910,8,9,8.779025555328078,17.48707475261309,1111
ValidationData_4.csv,264,847,6,9,8.304038236251783,16.56507977396935,1111
ValidationData_5.csv,329,782,6,9,8.30277459331916,15.856035343607745,1111
ValidationData_6.csv,386,725,5,9,8.337408201955691,16.18045646765766,1111
ValidationData_7.csv,432,679,4,9,8.580792969070215,16.599270354781545,1111
ValidationData_8.csv,471,640,2,9,8.673425713235794,16.558728539763504,1111
ValidationData_9.csv,508,603,2,9,8.579708004630096,16.49829700432632,1111
ValidationData_10.csv,541,570,2,9,8.580093108741817,16.172789908382505,1111
