LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
18,13,11.878369116004164,11.189959546668664,0.05,62.37628711681339,0.5698227588211379,8.126832985508209,4.75476891144765,14.732572634428905,24.4930372625595,34.22447068226993,51.33162626644583,62.26584050830955
18,14,12.036633343218867,11.055597072121143,0.05,62.346403329482285,0.5312569703006332,8.594573852197303,4.967170204653632,15.35248712773133,24.41525239088547,34.68101860747611,52.18012092378749,62.24474050542519
18,15,12.093972346183897,11.085576887960194,0.05,62.32107242323324,0.6013165317529723,8.246513831668748,4.707803331446519,15.188791327950863,24.355330307948122,36.1554487882057,48.81358948493402,62.185997593850054
19,1,12.547594288143543,14.994875169478732,0.02,82.16069111974144,0.35509034645897347,7.43721644130645,3.1775069113575793,14.547149472264456,29.22766830211922,46.64639125742728,63.85185666451075,81.97760277518896
19,2,11.62444705008712,13.477685990749245,0.02,62.4279627947812,0.35509034645897347,6.4678446877199285,3.6449717324684494,12.514915546323657,28.409825152001908,44.39092352746182,60.10710994701567,62.40475426630353
19,3,11.916694251376308,13.397264608177888,0.02,62.27341185815782,0.35509034645897347,7.037430872135903,3.5758992769877787,13.349894605440603,27.581169382508577,42.99952632371707,60.34008776140346,62.25407861719026
19,4,12.11495190468277,13.094992681648922,0.02,62.203348330726385,0.9469747335957335,7.217149701646342,3.636787368066114,13.233236086035483,29.545246730154094,45.613095032502926,54.66953588074197,62.12801020622647
19,5,11.850366458575913,12.299798956056113,0.03,62.1636276239175,1.1818793281888027,7.518175518939822,3.9827646523062956,14.353711636422133,27.60644830500875,38.31960830822509,56.1726391299769,62.103717738978055
19,6,11.65090859599302,12.452519802402884,0.03,62.30296608350394,1.1680183031302303,7.484222572706084,3.618767296409211,14.649019195843074,27.883173038237132,36.17612729063339,61.6992710523987,62.29692913319288
19,7,11.621323835638462,12.406544719912015,0.03,65.86004253609903,0.7868112873112357,7.384025926512113,3.927236867337985,14.929755137385698,25.41833709167118,34.480266400463655,62.40123714969098,65.82545448223493
19,8,11.630839895061824,12.433618760555074,0.03,69.03401428648,0.7712134429651357,7.50238536798086,3.9929609745592733,14.223123082012906,25.951149672768743,33.8705362202311,62.62343103227749,68.96990845393793
19,9,11.75741587359624,12.247156906590833,0.03,65.17847996869646,0.5996685508090707,7.813863614772164,4.0739985081425285,15.215127637744846,25.824699768884948,34.411386033638635,62.4276101482001,65.15097127049148
19,10,11.809580798803008,12.022363416748155,0.03,62.32806445934612,0.525955954635077,8.079843754355375,4.399201040375063,14.435847131518385,25.412153309464525,34.61485345781761,62.28138171433935,62.327597631896055
