method,"(k,l)",mean_error,std_error,max_error,min_error,median_error,failed,time_to_compute_one_position
SC (basic),"(8, 5)",13.513999483819045,13.83174819442655,83.5306442680773,2.7939677238464355e-09,8.957084226404886,0.81,56.12
UC (basic),"(3, 15)",10.750639969301785,10.605182752966499,84.5883578072219,9.313225746154785e-10,7.4922670877752156,9.45,49.37
VT (basic),"(11, 0.64)",11.172852859506001,10.447854641996985,68.2498005359844,6.51925802230835e-09,8.218957045886238,9.63,66.23
UC (secure),"(3, 15)",10.750639969301785,10.605182752966499,84.5883578072219,9.313225746154785e-10,7.4922670877752156,9.45,51.42
