FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAIL,NORMAL_POSITIONING_FAIL,MEAN_ERROR_NORMAL_RSS,MEAN_ERROR_ACTUAL_POSITION,TOTAL_OF_ATTACK
ValidationData_1.csv,192,919,112,102,7.132489217909107,13.666859743976806,0
ValidationData_2.csv,288,823,128,102,7.8561394433339125,14.209589259353878,0
ValidationData_3.csv,345,766,151,102,8.329571799735596,14.675176193210222,0
ValidationData_4.csv,386,725,159,102,9.619041853414823,15.001639667292467,0
ValidationData_5.csv,382,729,182,102,11.237024434247443,16.59011654029016,0
ValidationData_6.csv,409,702,192,102,11.734104453565797,16.806155592891027,0
ValidationData_7.csv,455,656,216,102,11.46981311222495,16.373289370863432,0
ValidationData_8.csv,430,681,240,102,13.280519805097729,17.80228984811344,0
ValidationData_9.csv,432,679,255,102,12.736817692069335,17.39285815049699,0
ValidationData_10.csv,467,644,252,102,14.018383737432986,17.851883073309416,0
