LIMIT;K;MEAN_ERROR;STD_ERROR;MAX_ERROR;MIN_ERROR;MEDIAN_ERROR;25th_PERCENTILE;75th_PERCENTILE;90th_PERCENTILE;95th_PERCENTILE;99th_PERCENTILE;99.99th_PERCENTILE
18;3;x;x;x;x;x;x;x;x;x;x;x
17;3;x;x;x;x;x;x;x;x;x;x;x
16;3;x;x;x;x;x;x;x;x;x;x;x
15;3;x;x;x;x;x;x;x;x;x;x;x
14;3;x;x;x;x;x;x;x;x;x;x;x
13;3;x;x;x;x;x;x;x;x;x;x;x
12;3;x;x;x;x;x;x;x;x;x;x;x
11;3;x;x;x;x;x;x;x;x;x;x;x
10;3;x;x;x;x;x;x;x;x;x;x;x
9;3;14.666393980485537;15.333482767030352;67.96921830613678;0.0;9.552336379667405;3.4894508326712237;20.63704507550787;36.898249731124785;49.115552462469246;61.8468565733836;67.90799468880924
8;3;14.310870245983844;15.266983195529118;67.96921830613678;0.0;9.363985424302262;3.3907869709525587;19.82300746185362;36.68710511747977;48.91560436117096;61.669396813013975;67.90622009120548
7;3;14.188168087768231;15.197759952209728;67.96921830613678;0.0;9.217362569537714;3.432318240251968;19.415988655026492;36.52915059854024;48.8156303105218;61.5806669328291;67.9053327924036
6;3;14.188168087768231;15.197759952209728;67.96921830613678;0.0;9.217362569537714;3.432318240251968;19.415988655026492;36.52915059854024;48.8156303105218;61.5806669328291;67.9053327924036
5;3;14.292851359000144;15.121198445956685;67.96921830613678;0.0;9.363985424302262;3.444102456410449;20.63704507550787;36.371196079600715;48.71565625987265;61.491937052644225;67.90444549360186
4;3;14.109323639925133;15.102796647010106;67.96921830613678;0.0;9.217362569537714;3.3492557016531497;20.230026268680746;36.213241560661196;48.615682209223515;61.403207172459474;67.90355819479997
3;3;14.109323639925133;15.102796647010106;67.96921830613678;0.0;9.217362569537714;3.3492557016531497;20.230026268680746;36.213241560661196;48.615682209223515;61.403207172459474;67.90355819479997
20;4;x;x;x;x;x;x;x;x;x;x;x
19;4;x;x;x;x;x;x;x;x;x;x;x
18;4;x;x;x;x;x;x;x;x;x;x;x
17;4;x;x;x;x;x;x;x;x;x;x;x
16;4;x;x;x;x;x;x;x;x;x;x;x
15;4;x;x;x;x;x;x;x;x;x;x;x
14;4;x;x;x;x;x;x;x;x;x;x;x
13;4;x;x;x;x;x;x;x;x;x;x;x
12;4;x;x;x;x;x;x;x;x;x;x;x
11;4;x;x;x;x;x;x;x;x;x;x;x
10;4;x;x;x;x;x;x;x;x;x;x;x
9;4;14.475960875794165;14.031969811437278;58.86349187170759;0.0;9.862383771300774;3.284912072123663;20.641797333962916;37.31860508031358;40.34081674443374;55.615395880448546;58.83101091179499
8;4;14.125726949756123;13.992578242218618;58.86349187170759;0.0;9.66460796629455;3.2232148980990876;20.329717358646242;36.90795225539313;40.129352549848555;55.521248170556994;58.83006943469604
7;4;13.987957487799683;13.945492134717222;58.86349187170759;0.0;9.51060827906681;3.2401537442218356;20.173677370987903;36.57664335084282;40.02362045255593;55.47417431561119;58.82959869614657
6;4;13.987957487799683;13.945492134717222;58.86349187170759;0.0;9.51060827906681;3.2401537442218356;20.173677370987903;36.57664335084282;40.02362045255593;55.47417431561119;58.82959869614657
5;4;14.127158380931194;13.901913521157248;58.86349187170759;0.0;9.66460796629455;3.284912072123663;20.641797333962916;36.24533444629253;39.917888355263344;55.42710046066538;58.829127957597166
4;4;13.945839901563767;13.89673378244399;58.86349187170759;0.0;9.51060827906681;3.2062760519763396;20.48575734630458;35.91402554174225;39.812156257970756;55.38002660571964;58.82865721904769
3;4;13.945839901563767;13.89673378244399;58.86349187170759;0.0;9.51060827906681;3.2062760519763396;20.48575734630458;35.91402554174225;39.812156257970756;55.38002660571964;58.82865721904769
20;5;x;x;x;x;x;x;x;x;x;x;x
19;5;x;x;x;x;x;x;x;x;x;x;x
18;5;x;x;x;x;x;x;x;x;x;x;x
17;5;x;x;x;x;x;x;x;x;x;x;x
16;5;x;x;x;x;x;x;x;x;x;x;x
15;5;x;x;x;x;x;x;x;x;x;x;x
14;5;x;x;x;x;x;x;x;x;x;x;x
13;5;x;x;x;x;x;x;x;x;x;x;x
12;5;x;x;x;x;x;x;x;x;x;x;x
11;5;x;x;x;x;x;x;x;x;x;x;x
10;5;x;x;x;x;x;x;x;x;x;x;x
9;5;14.225047385488818;13.327458811813;57.6967083193201;0.0;9.6864179559208;4.209146771603477;20.77390846397305;33.56957722331922;38.90794352390237;57.65675964616879;57.69630883258859
8;5;13.881783278625923;13.299754515705978;57.6967083193201;0.0;9.434324749330418;4.025255708710211;20.280305711485184;33.497328087328455;38.683546507812025;57.65560171361368;57.69629725326304
7;5;13.746192773176542;13.261999214212993;57.6967083193201;0.0;9.297460358196092;3.890492907682972;20.033504335241247;33.45571950970393;38.57134799976683;57.65502274733612;57.69629146360026
6;5;13.736885003759026;13.26544705869361;57.6967083193201;0.0;9.297460358196092;3.890492907682972;20.033504335241247;33.45571950970393;38.57134799976683;57.65502274733612;57.69629146360026
5;5;13.864628637661037;13.210227549805724;57.6967083193201;0.0;9.434324749330418;3.9354138413587183;20.77390846397305;33.41411093207941;38.459149491721654;57.65444378105856;57.69628567393749
4;5;13.686152892443642;13.210944221738208;57.6967083193201;0.0;9.297460358196092;3.7390127072912427;20.527107087729117;33.372502354454895;38.346950983676486;57.65386481478101;57.69627988427471
3;5;13.67709333021059;13.214272023741062;57.6967083193201;0.0;9.297460358196092;3.7390127072912427;20.527107087729117;33.372502354454895;38.346950983676486;57.65386481478101;57.69627988427471
20;6;x;x;x;x;x;x;x;x;x;x;x
19;6;x;x;x;x;x;x;x;x;x;x;x
18;6;x;x;x;x;x;x;x;x;x;x;x
17;6;x;x;x;x;x;x;x;x;x;x;x
